Total_runs	Proportion_of_Starting_failure	Proportion_failure_after_draws
1	0.0	0.0
2	0.0	0.0
3	0.0	0.0
4	0.0	0.0
5	0.0	0.0
6	0.0	0.0
7	0.0	0.0
8	0.0	0.0
9	0.1111111111111111	0.1111111111111111
10	0.1	0.1
11	0.09090909090909091	0.09090909090909091
12	0.08333333333333333	0.08333333333333333
13	0.07692307692307693	0.07692307692307693
14	0.07142857142857142	0.07142857142857142
15	0.13333333333333333	0.13333333333333333
16	0.1875	0.125
17	0.17647058823529413	0.11764705882352941
18	0.16666666666666666	0.1111111111111111
19	0.21052631578947367	0.10526315789473684
20	0.2	0.1
21	0.19047619047619047	0.09523809523809523
22	0.18181818181818182	0.09090909090909091
23	0.17391304347826086	0.08695652173913043
24	0.16666666666666666	0.08333333333333333
25	0.16	0.08
26	0.19230769230769232	0.07692307692307693
27	0.18518518518518517	0.07407407407407407
28	0.17857142857142858	0.07142857142857142
29	0.1724137931034483	0.06896551724137931
30	0.16666666666666666	0.06666666666666667
31	0.1935483870967742	0.06451612903225806
32	0.1875	0.0625
33	0.21212121212121213	0.09090909090909091
34	0.20588235294117646	0.08823529411764706
35	0.2	0.08571428571428572
36	0.19444444444444445	0.08333333333333333
37	0.1891891891891892	0.08108108108108109
38	0.18421052631578946	0.07894736842105263
39	0.1794871794871795	0.07692307692307693
40	0.175	0.075
41	0.17073170731707318	0.07317073170731707
42	0.16666666666666666	0.07142857142857142
43	0.18604651162790697	0.06976744186046512
44	0.18181818181818182	0.06818181818181818
45	0.2	0.06666666666666667
46	0.21739130434782608	0.06521739130434782
47	0.2127659574468085	0.06382978723404255
48	0.20833333333333334	0.0625
49	0.20408163265306123	0.061224489795918366
50	0.2	0.06
51	0.19607843137254902	0.058823529411764705
52	0.19230769230769232	0.057692307692307696
53	0.18867924528301888	0.05660377358490566
54	0.2037037037037037	0.07407407407407407
55	0.2	0.07272727272727272
56	0.19642857142857142	0.07142857142857142
57	0.21052631578947367	0.07017543859649122
58	0.22413793103448276	0.06896551724137931
59	0.22033898305084745	0.06779661016949153
60	0.21666666666666667	0.06666666666666667
