Dual_land	Cards_drawn	Color_Counts	Color_Counts_during_trials
0	7	0	245
0	7	1	1952
0	7	2	4327
0	7	3	2977
0	7	4	499
0	7	Mulligan	1453
1	7	0	243
1	7	1	1913
1	7	2	4264
1	7	3	2973
1	7	4	607
1	7	Mulligan	1466
2	7	0	199
2	7	1	1868
2	7	2	4052
2	7	3	3164
2	7	4	717
2	7	Mulligan	1425
3	7	0	244
3	7	1	1775
3	7	2	4014
3	7	3	3246
3	7	4	721
3	7	Mulligan	1474
4	7	0	241
4	7	1	1645
4	7	2	3961
4	7	3	3286
4	7	4	867
4	7	Mulligan	1416
5	7	0	216
5	7	1	1628
5	7	2	3776
5	7	3	3379
5	7	4	1001
5	7	Mulligan	1421
6	7	0	237
6	7	1	1559
6	7	2	3739
6	7	3	3413
6	7	4	1052
6	7	Mulligan	1473
7	7	0	249
7	7	1	1501
7	7	2	3621
7	7	3	3453
7	7	4	1176
7	7	Mulligan	1475
8	7	0	232
8	7	1	1399
8	7	2	3502
8	7	3	3606
8	7	4	1261
8	7	Mulligan	1439
9	7	0	256
9	7	1	1329
9	7	2	3332
9	7	3	3718
9	7	4	1365
9	7	Mulligan	1470
10	7	0	235
10	7	1	1296
10	7	2	3193
10	7	3	3776
10	7	4	1500
10	7	Mulligan	1439
11	7	0	232
11	7	1	1237
11	7	2	3199
11	7	3	3727
11	7	4	1605
11	7	Mulligan	1397
12	7	0	235
12	7	1	1273
12	7	2	3055
12	7	3	3731
12	7	4	1706
12	7	Mulligan	1478
13	7	0	232
13	7	1	1092
13	7	2	2979
13	7	3	3890
13	7	4	1807
13	7	Mulligan	1426
14	7	0	249
14	7	1	1051
14	7	2	2954
14	7	3	3873
14	7	4	1873
14	7	Mulligan	1425
15	7	0	241
15	7	1	1019
15	7	2	2944
15	7	3	3854
15	7	4	1942
15	7	Mulligan	1463
16	7	0	235
16	7	1	917
16	7	2	2794
16	7	3	3913
16	7	4	2141
16	7	Mulligan	1436
17	7	0	254
17	7	1	886
17	7	2	2701
17	7	3	3893
17	7	4	2266
17	7	Mulligan	1428
18	7	0	218
18	7	1	903
18	7	2	2640
18	7	3	3920
18	7	4	2319
18	7	Mulligan	1454
19	7	0	250
19	7	1	824
19	7	2	2601
19	7	3	3925
19	7	4	2400
19	7	Mulligan	1479
20	7	0	230
20	7	1	752
20	7	2	2592
20	7	3	3915
20	7	4	2511
20	7	Mulligan	1457
21	7	0	233
21	7	1	708
21	7	2	2412
21	7	3	3984
21	7	4	2663
21	7	Mulligan	1477
22	7	0	252
22	7	1	657
22	7	2	2379
22	7	3	3916
22	7	4	2796
22	7	Mulligan	1431
23	7	0	265
23	7	1	620
23	7	2	2332
23	7	3	3960
23	7	4	2823
23	7	Mulligan	1439
24	7	0	240
24	7	1	617
24	7	2	2287
24	7	3	3933
24	7	4	2923
24	7	Mulligan	1522
25	7	0	218
25	7	1	490
25	7	2	2295
25	7	3	3997
25	7	4	3000
25	7	Mulligan	1441
26	7	0	222
26	7	1	542
26	7	2	2129
26	7	3	3953
26	7	4	3154
26	7	Mulligan	1441
27	7	0	235
27	7	1	459
27	7	2	2157
27	7	3	3932
27	7	4	3217
27	7	Mulligan	1465
28	7	0	212
28	7	1	387
28	7	2	2121
28	7	3	3977
28	7	4	3303
28	7	Mulligan	1416
29	7	0	214
29	7	1	396
29	7	2	1982
29	7	3	3932
29	7	4	3476
29	7	Mulligan	1422
30	7	0	233
30	7	1	313
30	7	2	1985
30	7	3	3939
30	7	4	3530
30	7	Mulligan	1434
31	7	0	200
31	7	1	288
31	7	2	1892
31	7	3	3867
31	7	4	3753
31	7	Mulligan	1346
32	7	0	228
32	7	1	242
32	7	2	1873
32	7	3	3860
32	7	4	3797
32	7	Mulligan	1411
33	7	0	260
33	7	1	201
33	7	2	1850
33	7	3	3822
33	7	4	3867
33	7	Mulligan	1485
34	7	0	239
34	7	1	171
34	7	2	1847
34	7	3	3844
34	7	4	3899
34	7	Mulligan	1463
35	7	0	229
35	7	1	141
35	7	2	1749
35	7	3	3879
35	7	4	4002
35	7	Mulligan	1412
36	7	0	195
36	7	1	116
36	7	2	1772
36	7	3	3745
36	7	4	4172
36	7	Mulligan	1436
37	7	0	231
37	7	1	91
37	7	2	1658
37	7	3	3744
37	7	4	4276
37	7	Mulligan	1358
38	7	0	242
38	7	1	62
38	7	2	1731
38	7	3	3624
38	7	4	4341
38	7	Mulligan	1450
39	7	0	232
39	7	1	28
39	7	2	1739
39	7	3	3563
39	7	4	4438
39	7	Mulligan	1471
40	7	0	247
40	7	1	0
40	7	2	1701
40	7	3	3582
40	7	4	4470
40	7	Mulligan	1498
