Dual_land	Cards_drawn	Color_Counts	Color_Counts_during_trials
0	7	0	231
0	7	1	2348
0	7	2	5107
0	7	3	2314
0	7	Mulligan	1437
1	7	0	220
1	7	1	2286
1	7	2	4993
1	7	3	2501
1	7	Mulligan	1387
2	7	0	214
2	7	1	2148
2	7	2	4916
2	7	3	2722
2	7	Mulligan	1423
3	7	0	216
3	7	1	2075
3	7	2	4824
3	7	3	2885
3	7	Mulligan	1427
4	7	0	223
4	7	1	1940
4	7	2	4727
4	7	3	3110
4	7	Mulligan	1367
5	7	0	235
5	7	1	1877
5	7	2	4770
5	7	3	3118
5	7	Mulligan	1444
6	7	0	209
6	7	1	1777
6	7	2	4557
6	7	3	3457
6	7	Mulligan	1396
7	7	0	228
7	7	1	1760
7	7	2	4375
7	7	3	3637
7	7	Mulligan	1465
8	7	0	237
8	7	1	1587
8	7	2	4488
8	7	3	3688
8	7	Mulligan	1440
9	7	0	256
9	7	1	1595
9	7	2	4278
9	7	3	3871
9	7	Mulligan	1441
10	7	0	206
10	7	1	1484
10	7	2	4322
10	7	3	3988
10	7	Mulligan	1419
11	7	0	220
11	7	1	1447
11	7	2	4139
11	7	3	4194
11	7	Mulligan	1469
12	7	0	218
12	7	1	1379
12	7	2	4075
12	7	3	4328
12	7	Mulligan	1452
13	7	0	224
13	7	1	1238
13	7	2	3940
13	7	3	4598
13	7	Mulligan	1370
14	7	0	215
14	7	1	1203
14	7	2	3906
14	7	3	4676
14	7	Mulligan	1429
15	7	0	239
15	7	1	1119
15	7	2	3858
15	7	3	4784
15	7	Mulligan	1458
16	7	0	215
16	7	1	1049
16	7	2	3793
16	7	3	4943
16	7	Mulligan	1403
17	7	0	227
17	7	1	1049
17	7	2	3763
17	7	3	4961
17	7	Mulligan	1482
18	7	0	247
18	7	1	994
18	7	2	3623
18	7	3	5136
18	7	Mulligan	1519
19	7	0	243
19	7	1	875
19	7	2	3648
19	7	3	5234
19	7	Mulligan	1497
20	7	0	208
20	7	1	812
20	7	2	3469
20	7	3	5511
20	7	Mulligan	1416
21	7	0	242
21	7	1	797
21	7	2	3421
21	7	3	5540
21	7	Mulligan	1458
22	7	0	232
22	7	1	734
22	7	2	3342
22	7	3	5692
22	7	Mulligan	1479
23	7	0	250
23	7	1	698
23	7	2	3366
23	7	3	5686
23	7	Mulligan	1498
24	7	0	228
24	7	1	613
24	7	2	3265
24	7	3	5894
24	7	Mulligan	1412
25	7	0	236
25	7	1	537
25	7	2	3245
25	7	3	5982
25	7	Mulligan	1512
26	7	0	248
26	7	1	528
26	7	2	3119
26	7	3	6105
26	7	Mulligan	1435
27	7	0	216
27	7	1	458
27	7	2	2994
27	7	3	6332
27	7	Mulligan	1372
28	7	0	236
28	7	1	445
28	7	2	3083
28	7	3	6236
28	7	Mulligan	1430
29	7	0	210
29	7	1	419
29	7	2	2981
29	7	3	6390
29	7	Mulligan	1467
30	7	0	244
30	7	1	333
30	7	2	2860
30	7	3	6563
30	7	Mulligan	1400
31	7	0	222
31	7	1	318
31	7	2	2867
31	7	3	6593
31	7	Mulligan	1442
32	7	0	208
32	7	1	267
32	7	2	2776
32	7	3	6749
32	7	Mulligan	1469
33	7	0	224
33	7	1	231
33	7	2	2785
33	7	3	6760
33	7	Mulligan	1435
34	7	0	235
34	7	1	187
34	7	2	2662
34	7	3	6916
34	7	Mulligan	1418
35	7	0	214
35	7	1	147
35	7	2	2657
35	7	3	6982
35	7	Mulligan	1423
36	7	0	241
36	7	1	126
36	7	2	2517
36	7	3	7116
36	7	Mulligan	1450
37	7	0	228
37	7	1	86
37	7	2	2487
37	7	3	7199
37	7	Mulligan	1470
38	7	0	213
38	7	1	61
38	7	2	2510
38	7	3	7216
38	7	Mulligan	1414
39	7	0	203
39	7	1	27
39	7	2	2405
39	7	3	7365
39	7	Mulligan	1365
40	7	0	215
40	7	1	0
40	7	2	2404
40	7	3	7381
40	7	Mulligan	1426
