All-Color lands	2-color	3-color	4-color	5-color
0	1,23	5,96	12,37	19,71
1	1,13	5,07	11,11	17,42
2	1,03	4,57	10,02	15,61
3	0,96	4,26	9,11	14,01
4	0,88	3,94	8,16	13,05
5	0,78	3,55	7,53	11,92
10	0,47	2,31	5,36	8,46
15	0,30	1,64	4,06	6,89
20	0,16	1,25	3,27	5,88
25	0,07	0,97	2,82	5,25
30	0,03	0,84	2,52	4,88
35	0,01	0,74	2,41	4,58
