0_0_0_0_2_5	0.009416169206446058
0_0_0_0_3_4	0.0017120307648083803
0_0_0_0_4_3	0.00015285988971503324
0_0_0_0_5_2	6.436205882738169e-06
0_0_0_0_6_1	1.1096906694376048e-07
0_0_0_0_7_0	5.373804694613234e-10
0_0_0_1_1_5	0.021522672471876673
0_0_0_1_2_4	0.006848123059233523
0_0_0_1_3_3	0.000978303294176212
0_0_0_1_4_2	6.436205882738165e-05
0_0_0_1_5_1	1.775505071100165e-06
0_0_0_1_6_0	1.5046653144917088e-08
0_0_0_2_0_5	0.009416169206446058
0_0_0_2_1_4	0.006848123059233523
0_0_0_2_2_3	0.0017120307648083742
0_0_0_2_3_2	0.0001802137647166688
0_0_0_2_4_1	7.767834686063216e-06
0_0_0_2_5_0	1.0532657201441982e-07
0_0_0_3_0_4	0.0017120307648083803
0_0_0_3_1_3	0.000978303294176212
0_0_0_3_2_2	0.0001802137647166688
0_0_0_3_3_1	1.2428535497701158e-05
0_0_0_3_4_0	2.6331643003604885e-07
0_0_0_4_0_3	0.00015285988971503324
0_0_0_4_1_2	6.436205882738165e-05
0_0_0_4_2_1	7.767834686063216e-06
0_0_0_4_3_0	2.6331643003604885e-07
0_0_0_5_0_2	6.436205882738169e-06
0_0_0_5_1_1	1.775505071100165e-06
0_0_0_5_2_0	1.0532657201441982e-07
0_0_0_6_0_1	1.1096906694376048e-07
0_0_0_6_1_0	1.5046653144917088e-08
0_0_0_7_0_0	5.373804694613234e-10
0_0_1_0_1_5	0.021522672471876673
0_0_1_0_2_4	0.006848123059233523
0_0_1_0_3_3	0.000978303294176212
0_0_1_0_4_2	6.436205882738165e-05
0_0_1_0_5_1	1.775505071100165e-06
0_0_1_0_6_0	1.5046653144917088e-08
0_0_1_1_0_5	0.021522672471876673
0_0_1_1_1_4	0.01565285270681951
0_0_1_1_2_3	0.003913213176704849
0_0_1_1_3_2	0.00041191717649524304
0_0_1_1_4_1	1.775505071100164e-05
0_0_1_1_5_0	2.407464503186735e-07
0_0_1_2_0_4	0.006848123059233523
0_0_1_2_1_3	0.003913213176704849
0_0_1_2_2_2	0.000720855058866674
0_0_1_2_3_1	4.971414199080464e-05
0_0_1_2_4_0	1.0532657201441956e-06
