Trial_land_count	2	3	4	5		
0	1,18	5,26	10,61	16,41		
1	1,11	4,58	9,67	14,62		
2	0,94	4,31	8,69	13,27		
3	0,92	3,95	7,95	12,2		
4	0,8	3,53	7,25	11,25		
5	0,7	3,27	6,73	10,39		
10	0,45	2,23	4,91	7,88		
15	0,27	1,55	3,82	6,39		
20	0,13	1,17	3,1	5,53		
25	0,07	0,93	2,72	5		
30	0,02	0,8	2,47	4,73		
35	0	0,74	2,35	4,48		
